surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
yes,adult,529272,38.3,132.0,,,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.2,absent,distend_small,57.0,8.0,,5.2,lived,yes,2112,0,0,yes
no,adult,535314,38.7,48.0,24.0,,,,,alert,hypermotile,,none,none,,normal,,34.0,63.0,,,lived,no,0,0,0,no
no,adult,533793,38.9,44.0,14.0,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,,,,,other,33.0,64.0,,,lived,no,0,0,0,no
yes,adult,529399,39.3,,,cold,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,slight,none,more_1_liter,4.0,absent,distend_small,75.0,,serosanguious,4.3,died,yes,2207,0,0,yes
yes,adult,533836,,100.0,,cool,reduced,pale_cyanotic,more_3_sec,,absent,severe,slight,none,2.0,,,68.0,64.0,serosanguious,2.0,lived,yes,2209,0,0,no
no,adult,528804,38.6,48.0,20.0,cool,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,none,,decreased,other,50.0,7.3,clear,,lived,no,3111,0,0,yes
no,adult,535163,38.8,48.0,40.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,severe,slight,,,,distend_large,41.0,65.0,,,lived,yes,4124,0,0,no
no,adult,528247,38.0,48.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,alert,absent,slight,slight,,5.0,,other,49.0,8.3,clear,,lived,no,400,0,0,yes
no,adult,528996,38.6,52.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,normal,firm,36.0,6.6,clear,5.0,lived,no,0,0,0,yes
yes,adult,533928,37.8,60.0,24.0,normal,,pale_pink,more_3_sec,,absent,severe,slight,more_1_liter,2.0,,distend_large,52.0,75.0,,,euthanized,yes,2205,0,0,no
no,adult,528248,38.0,42.0,40.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,,,,,,,,,,lived,no,3111,0,0,no
no,adult,528134,,,12.0,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,significant,none,,normal,firm,44.0,7.5,cloudy,,lived,no,0,0,0,yes
yes,adult,527916,,,,,,,,severe_pain,,,none,none,,,distend_large,35.0,58.0,cloudy,1.0,lived,yes,4205,0,0,no
yes,adult,530431,38.3,42.0,24.0,,,,less_3_sec,,,,,,,,,40.0,8.5,,,died,yes,7113,0,0,no
no,adult,535176,39.5,60.0,10.0,cool,,,more_3_sec,mild_pain,hypomotile,slight,slight,none,,decreased,,38.0,56.0,clear,,lived,no,0,0,0,no
yes,adult,533942,38.0,66.0,20.0,normal,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,none,none,none,,decreased,,46.0,46.0,serosanguious,2.0,euthanized,yes,6209,0,0,no
yes,adult,528523,38.7,76.0,,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,,absent,distend_small,50.0,8.0,,,lived,yes,2208,0,0,yes
yes,adult,534925,39.4,120.0,48.0,,,bright_red,less_3_sec,,hypomotile,moderate,none,,,absent,,56.0,64.0,clear,2.0,euthanized,no,1400,0,0,no
yes,adult,527916,38.3,40.0,18.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,,,,increased,normal,43.0,5.9,clear,,lived,no,0,0,0,yes
no,adult,528299,,44.0,24.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,,normal,,6.3,,,lived,no,3111,0,0,no
yes,adult,530254,38.4,104.0,40.0,normal,normal,pale_pink,less_3_sec,depressed,absent,slight,slight,more_1_liter,6.5,,distend_small,55.0,8.5,,,lived,yes,2124,0,0,no
yes,adult,535085,,65.0,24.0,,,,more_3_sec,extreme_pain,,severe,significant,none,,,distend_large,,,,,euthanized,yes,3205,0,0,no
no,adult,532985,37.5,44.0,20.0,normal,normal,pale_pink,less_3_sec,,hypermotile,none,,,,normal,,35.0,7.2,,,lived,no,0,0,0,no
no,adult,527677,39.0,86.0,16.0,cool,reduced,bright_red,,mild_pain,hypomotile,moderate,,less_1_liter,,,,68.0,5.8,serosanguious,6.0,died,yes,5400,0,0,yes
yes,adult,535292,38.5,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,none,more_1_liter,2.0,,,57.0,66.0,serosanguious,2.0,lived,yes,2206,0,0,no
yes,adult,529729,,104.0,,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,,more_1_liter,,absent,distend_small,69.0,8.6,cloudy,3.4,died,yes,2207,0,0,yes
no,adult,518476,,,,cool,absent,dark_cyanotic,,severe_pain,,severe,,,,,,,,,,died,yes,3400,0,0,yes
yes,adult,527929,,,,,,,,,,,,,,,,,,,,lived,yes,2208,0,0,no
yes,adult,535130,38.2,60.0,30.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,decreased,other,48.0,66.0,,,lived,yes,6112,0,0,no
yes,adult,523190,,68.0,14.0,,,pale_cyanotic,less_3_sec,severe_pain,,,,none,4.3,,,,,cloudy,2.8,died,yes,4205,0,0,yes
yes,adult,533968,,60.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,,absent,,45.0,70.0,serosanguious,2.0,lived,yes,6111,3111,0,no
no,adult,528151,38.5,100.0,,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,severe,slight,none,,absent,distend_large,,,,,euthanized,no,1111,0,0,yes
yes,adult,530239,38.4,84.0,30.0,cool,normal,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,6.5,absent,distend_small,47.0,7.5,serosanguious,,died,yes,2300,0,0,no
no,adult,528305,37.8,48.0,14.0,,,normal_pink,less_3_sec,mild_pain,,slight,none,more_1_liter,5.3,normal,,35.0,7.5,,,lived,no,3111,0,0,yes
yes,adult,5279822,38.0,,24.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,,severe,none,none,,,,68.0,7.8,,,died,yes,2205,0,0,no
no,adult,534857,37.8,56.0,16.0,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,slight,none,,normal,,44.0,68.0,clear,1.0,lived,no,0,0,0,no
no,adult,534053,38.2,68.0,32.0,warm,increased,bright_pink,less_3_sec,alert,hypermotile,none,significant,none,,normal,normal,43.0,65.0,,,lived,no,0,0,0,no
yes,adult,534833,38.5,120.0,60.0,cold,reduced,dark_cyanotic,more_3_sec,,hypomotile,,,,,,,54.0,,,,lived,yes,5400,0,0,no
yes,adult,5278331,39.3,64.0,90.0,warm,reduced,normal_pink,less_3_sec,,hypomotile,none,none,less_1_liter,,,,39.0,6.7,,,lived,yes,21110,0,0,no
yes,adult,527365,38.4,80.0,30.0,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,more_1_liter,,absent,distend_large,32.0,6.1,serosanguious,4.3,lived,yes,7209,0,0,yes
yes,adult,533887,38.5,60.0,,normal,normal,,less_3_sec,,hypermotile,none,,,,,,33.0,53.0,clear,,lived,yes,4111,0,0,no
yes,adult,5299603,38.3,60.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,less_1_liter,3.0,normal,distend_small,30.0,6.0,clear,3.0,lived,yes,31110,0,0,no
yes,adult,528742,37.1,40.0,8.0,,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,none,none,,decreased,firm,23.0,6.7,serosanguious,,lived,yes,3133,0,0,yes
no,young,5287279,,100.0,44.0,warm,normal,normal_pink,less_3_sec,severe_pain,hypermotile,none,,,,normal,,37.0,4.7,,,lived,no,7111,0,0,no
yes,adult,534788,38.2,48.0,18.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,,absent,,48.0,74.0,clear,2.0,lived,yes,5111,0,0,no
yes,adult,529373,,60.0,48.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,hypomotile,severe,,,,,,58.0,7.6,,,died,yes,3205,0,0,no
no,adult,534163,37.9,88.0,24.0,normal,normal,bright_pink,less_3_sec,depressed,normal,none,,,,absent,normal,37.0,56.0,,,lived,no,0,0,0,no
no,adult,533697,38.0,44.0,12.0,cool,normal,normal_pink,,,hypermotile,slight,,,,normal,,42.0,64.0,,,lived,no,0,0,0,no
no,adult,529628,38.5,60.0,20.0,normal,normal,bright_red,more_3_sec,depressed,normal,none,slight,none,,increased,firm,63.0,7.5,cloudy,2.3,euthanized,no,300,0,0,yes
no,adult,521399,38.5,96.0,36.0,cool,reduced,,more_3_sec,depressed,absent,slight,none,less_1_liter,,absent,distend_large,70.0,8.5,,,died,yes,1400,0,0,yes
no,adult,533885,38.3,60.0,20.0,normal,normal,normal_pink,more_3_sec,alert,hypomotile,none,,,,decreased,,34.0,66.0,,,lived,no,0,0,0,no
no,adult,534157,38.5,60.0,40.0,cool,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,,,,decreased,other,49.0,59.0,,,lived,no,0,0,0,no
yes,adult,528047,37.3,48.0,12.0,normal,,pale_pink,less_3_sec,mild_pain,hypermotile,moderate,slight,none,,decreased,firm,40.0,6.6,cloudy,,lived,yes,3205,0,0,yes
yes,adult,528641,38.5,86.0,,normal,normal,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,,decreased,distend_large,45.0,7.4,clear,3.4,died,yes,3209,0,0,yes
yes,adult,534073,37.5,48.0,40.0,,,,,,,,none,none,,,distend_large,41.0,55.0,serosanguious,2.0,euthanized,yes,2208,0,0,no
no,adult,529685,37.2,36.0,9.0,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,,absent,normal,35.0,5.7,,,lived,no,31110,0,0,no
yes,adult,529528,39.2,,23.0,cool,normal,pale_pink,less_3_sec,severe_pain,absent,slight,slight,,,,,36.0,6.6,clear,3.0,lived,yes,3115,0,0,yes
no,adult,528151,38.5,100.0,,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,severe,slight,none,,absent,distend_large,,,,,euthanized,no,4124,0,0,no
yes,adult,535137,38.5,96.0,30.0,warm,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,none,,decreased,distend_large,50.0,65.0,,,lived,yes,6111,3112,0,no
yes,adult,530297,,,,,,,,,,,,,,,,45.0,8.7,,,died,yes,2208,0,0,no
yes,adult,535338,37.8,88.0,80.0,cool,reduced,bright_red,more_3_sec,,hypomotile,moderate,slight,more_1_liter,,absent,distend_large,64.0,89.0,,,euthanized,yes,3205,0,0,no
no,adult,534478,37.5,44.0,10.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,slight,,,decreased,firm,43.0,51.0,clear,1.0,lived,no,0,0,0,no
yes,adult,530401,37.9,68.0,20.0,,normal,bright_pink,less_3_sec,depressed,absent,slight,,,,normal,distend_large,45.0,4.0,serosanguious,2.8,died,yes,5400,0,0,yes
yes,adult,529893,38.0,86.0,24.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,none,,absent,distend_large,45.0,5.5,clear,10.1,died,yes,3111,0,0,yes
yes,young,5294369,38.9,120.0,30.0,normal,reduced,bright_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,none,3.0,,,47.0,6.3,clear,,lived,no,2124,0,0,no
yes,adult,528183,37.6,45.0,12.0,cool,normal,pale_pink,less_3_sec,,normal,slight,slight,none,,normal,distend_small,39.0,7.0,cloudy,1.5,lived,yes,2112,0,0,yes
no,adult,529183,38.6,56.0,32.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,,,increased,,40.0,7.0,cloudy,2.1,lived,no,0,0,0,yes
yes,adult,529135,37.8,40.0,12.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,,normal,other,38.0,7.0,,,lived,yes,3111,0,0,no
no,adult,528977,,,,,,,,,,,,,,,,,,,,lived,no,0,0,0,no
yes,adult,5279441,38.0,76.0,18.0,,,,more_3_sec,,,,,,,,,71.0,11.0,,,lived,yes,2209,0,0,yes
yes,adult,535240,38.1,40.0,36.0,normal,increased,bright_pink,less_3_sec,depressed,normal,,,,,,,,,,,euthanized,yes,3112,0,0,no
yes,adult,529736,,52.0,28.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,none,,absent,distend_small,37.0,8.1,,,lived,yes,2111,0,0,no
yes,adult,535029,39.2,88.0,58.0,cold,absent,,more_3_sec,extreme_pain,absent,,,,,,,,,cloudy,2.0,euthanized,no,3205,0,0,no
yes,adult,535031,38.5,92.0,40.0,cold,reduced,,less_3_sec,depressed,absent,moderate,,,,absent,,46.0,67.0,cloudy,2.0,lived,yes,2208,0,0,no
yes,adult,528800,,112.0,13.0,cold,absent,pale_cyanotic,less_3_sec,depressed,hypomotile,none,slight,none,4.5,absent,distend_small,60.0,6.3,serosanguious,,lived,yes,2205,0,0,yes
yes,adult,528178,37.7,66.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,,absent,distend_small,31.5,6.2,cloudy,1.6,lived,yes,2208,0,0,yes
yes,adult,535392,38.8,50.0,14.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,none,none,,decreased,distend_large,38.0,58.0,,,lived,yes,3111,0,0,no
no,adult,528931,38.4,54.0,24.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,,decreased,other,49.0,7.2,clear,8.0,lived,no,3111,0,0,yes
yes,adult,528503,39.2,120.0,20.0,cold,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,none,more_1_liter,,,distend_small,60.0,8.8,serosanguious,,died,yes,2205,0,0,no
yes,young,5289419,,,,,,,,,,,,,,,,45.0,6.5,cloudy,,lived,yes,9000,0,0,yes
yes,adult,535196,37.3,90.0,40.0,cool,,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,less_1_liter,,normal,distend_large,65.0,50.0,serosanguious,2.0,euthanized,yes,3205,0,0,no
yes,young,534597,38.5,120.0,70.0,,,,,,hypermotile,,slight,,,normal,,35.0,54.0,clear,1.0,lived,yes,4205,3111,2209,no
yes,adult,534280,38.5,104.0,40.0,cool,reduced,,less_3_sec,severe_pain,hypomotile,severe,,,,,,,,,,lived,yes,2124,0,0,no
no,adult,530028,39.5,92.0,28.0,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,,more_1_liter,,absent,,72.0,6.4,,3.6,died,no,3300,0,0,no
yes,adult,5262543,38.5,30.0,18.0,,,,,,,,,,,,,40.0,7.7,,,lived,yes,2113,0,0,no
yes,adult,530526,38.3,72.0,30.0,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,,decreased,distend_large,43.0,7.0,cloudy,3.9,lived,yes,3113,0,0,yes
no,adult,528729,37.5,48.0,30.0,cold,normal,pale_pink,less_3_sec,,normal,none,none,none,,normal,normal,48.0,8.6,,,lived,no,400,0,0,no
yes,adult,528469,38.1,52.0,24.0,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,7.0,normal,,54.0,7.5,cloudy,2.6,died,yes,2206,0,0,yes
no,adult,528179,38.2,42.0,26.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,,,,normal,,36.0,6.9,,,lived,no,3111,0,0,no
no,adult,533750,37.9,54.0,42.0,warm,normal,bright_red,less_3_sec,mild_pain,hypermotile,none,,none,,,other,47.0,54.0,serosanguious,1.0,lived,no,0,0,0,no
no,adult,528702,36.1,88.0,,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,,,distend_small,45.0,7.0,serosanguious,4.8,euthanized,yes,2209,0,0,yes
yes,adult,534183,38.1,70.0,22.0,,normal,,less_3_sec,extreme_pain,hypomotile,,,,,,distend_large,36.0,65.0,,,euthanized,yes,3205,0,0,no
yes,adult,529160,38.0,90.0,30.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,,absent,distend_large,55.0,6.1,,,died,yes,3205,0,0,no
yes,adult,529045,38.2,52.0,16.0,normal,normal,bright_pink,less_3_sec,alert,normal,none,none,none,,normal,,43.0,8.1,,,lived,no,0,0,0,yes
yes,adult,530354,,36.0,32.0,normal,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,4.0,,distend_small,41.0,5.9,,,died,yes,2205,0,0,no
yes,adult,5281091,38.4,92.0,20.0,normal,,,more_3_sec,,hypomotile,moderate,,,,normal,,,,,,lived,yes,2208,0,0,yes
yes,young,5291409,38.2,124.0,88.0,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,severe,,,,,,47.0,8.0,clear,,lived,yes,9400,0,0,yes
no,adult,528904,,96.0,,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,,none,,absent,distend_large,60.0,,,,died,yes,41110,0,0,no
yes,adult,530366,37.6,68.0,32.0,cool,,pale_pink,less_3_sec,severe_pain,normal,severe,slight,less_1_liter,6.5,normal,distend_large,47.0,7.2,clear,,lived,yes,3209,0,0,no
yes,adult,530170,38.1,88.0,24.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,none,,decreased,distend_small,41.0,4.6,,,died,yes,2209,0,0,no
yes,adult,527709,38.0,108.0,60.0,warm,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,moderate,slight,,,decreased,distend_small,,,serosanguious,,lived,yes,2205,0,0,no
no,adult,528169,38.2,48.0,,warm,,normal_pink,more_3_sec,mild_pain,hypomotile,none,slight,none,,,other,34.0,6.6,,,lived,no,3111,0,0,no
yes,adult,535043,39.3,100.0,51.0,cold,absent,dark_cyanotic,less_3_sec,depressed,absent,none,none,more_1_liter,2.0,,distend_small,66.0,13.0,serosanguious,2.0,euthanized,yes,2113,0,0,no
no,adult,527940,36.6,42.0,18.0,cool,reduced,bright_pink,less_3_sec,alert,absent,none,none,none,,,distend_large,52.0,7.1,,,died,yes,5111,0,0,no
yes,young,5291719,38.8,124.0,36.0,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,severe,none,none,,absent,distend_small,50.0,7.6,serosanguious,,died,yes,2208,0,0,yes
no,adult,530561,,112.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,,,,absent,,40.0,5.3,serosanguious,2.6,lived,no,400,0,0,yes
yes,adult,533738,,80.0,,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,severe,,,,absent,distend_large,43.0,70.0,,,lived,yes,3111,0,0,no
yes,young,5294539,38.8,184.0,84.0,normal,,normal_pink,less_3_sec,severe_pain,hypermotile,moderate,,,,increased,,33.0,3.3,,,died,yes,7111,0,0,no
yes,adult,533871,37.5,72.0,,warm,normal,normal_pink,less_3_sec,depressed,hypermotile,none,none,none,,normal,,35.0,65.0,cloudy,2.0,euthanized,yes,7209,0,0,no
yes,adult,529812,38.7,96.0,28.0,cool,reduced,pale_cyanotic,less_3_sec,,absent,,,more_1_liter,7.5,,,64.0,9.0,,,died,yes,2205,0,0,yes
no,adult,534719,37.5,52.0,12.0,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,none,,decreased,distend_large,36.0,61.0,clear,1.0,lived,no,0,0,0,no
yes,adult,527734,40.8,72.0,42.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,,,,54.0,7.4,serosanguious,,died,yes,11400,0,0,yes
no,adult,534933,38.0,40.0,25.0,,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,none,none,,absent,,37.0,69.0,,,lived,no,0,0,0,no
no,adult,529296,38.4,48.0,16.0,warm,normal,normal_pink,less_3_sec,alert,,slight,slight,none,,,other,39.0,6.5,,,lived,no,3111,0,0,yes
no,young,5305629,38.6,88.0,28.0,,,,,,,,,,,,,35.0,5.9,,,lived,no,0,0,0,no
yes,adult,528743,37.1,75.0,36.0,,,pale_pink,more_3_sec,severe_pain,absent,slight,slight,more_1_liter,5.0,absent,distend_small,48.0,7.4,serosanguious,3.2,died,yes,12208,0,0,yes
yes,adult,530478,38.3,44.0,21.0,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,,normal,distend_large,44.0,6.5,cloudy,4.4,lived,yes,2209,0,0,yes
no,adult,528590,,56.0,68.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,normal,,40.0,6.0,,,euthanized,yes,5206,0,0,no
no,adult,529865,38.6,68.0,20.0,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,normal,distend_large,38.0,6.5,clear,,lived,no,5124,0,0,yes
no,adult,527829,38.3,54.0,18.0,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,,more_1_liter,5.4,,distend_small,44.0,7.2,serosanguious,,lived,no,2124,0,0,yes
yes,adult,534403,38.2,42.0,20.0,,,normal_pink,less_3_sec,,hypomotile,,,,,decreased,,47.0,60.0,,,lived,no,0,0,0,no
yes,adult,527883,39.3,64.0,90.0,warm,reduced,normal_pink,less_3_sec,,hypomotile,none,none,less_1_liter,6.5,normal,distend_large,39.0,6.7,,,lived,yes,31110,0,0,no
yes,adult,528570,37.5,60.0,50.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,3.5,decreased,distend_small,35.0,6.5,,,died,yes,2209,0,0,no
yes,adult,534626,37.7,80.0,,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,slight,more_1_liter,,decreased,normal,50.0,55.0,serosanguious,2.0,lived,yes,4206,0,0,no
yes,adult,529796,,100.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,,absent,distend_small,52.0,6.6,,,lived,yes,2124,0,0,no
yes,adult,528638,37.7,120.0,28.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,,,,65.0,7.0,serosanguious,,died,yes,4205,0,0,yes
yes,adult,534624,,76.0,,,reduced,,,,absent,severe,,,,,distend_large,,,,,euthanized,yes,11124,0,0,no
yes,young,5297159,38.8,150.0,50.0,normal,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,slight,none,none,,,,50.0,6.2,,,died,yes,4207,0,0,no
yes,adult,534787,38.0,36.0,16.0,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,significant,more_1_liter,2.0,decreased,,37.0,75.0,cloudy,1.0,euthanized,no,3111,0,0,no
no,adult,528620,36.9,50.0,40.0,warm,reduced,pale_pink,less_3_sec,alert,hypomotile,slight,significant,none,7.0,,,37.5,6.5,,,lived,no,3111,0,0,no
no,adult,528019,37.8,40.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,,,,normal,normal,37.0,6.8,,,lived,no,0,0,0,no
no,adult,529172,38.2,56.0,40.0,cold,reduced,normal_pink,less_3_sec,depressed,absent,moderate,slight,less_1_liter,7.5,,,47.0,7.2,clear,2.5,lived,no,8300,0,0,yes
yes,adult,534644,38.6,48.0,12.0,,,normal_pink,,alert,hypermotile,,,,,,,36.0,67.0,,,lived,no,0,0,0,no
no,adult,530624,40.0,78.0,,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,none,none,,absent,normal,66.0,6.5,,,died,yes,8400,0,0,yes
yes,adult,527544,,70.0,16.0,cool,absent,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,,absent,distend_large,60.0,7.5,,,died,yes,1400,0,0,no
yes,adult,527758,38.2,72.0,18.0,,,,,,,,,,,,,35.0,6.4,,,lived,yes,3124,0,0,no
no,adult,530439,38.5,54.0,,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,,normal,,40.0,6.8,cloudy,7.0,lived,no,0,0,0,yes
yes,adult,5283431,38.5,66.0,24.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,absent,distend_large,40.0,6.7,clear,,lived,yes,31110,0,0,yes
no,adult,5275212,37.8,82.0,12.0,cool,normal,normal_pink,more_3_sec,severe_pain,,moderate,none,more_1_liter,,,,50.0,7.0,,,euthanized,yes,2205,0,0,no
no,young,5305129,39.5,84.0,30.0,,,,less_3_sec,,,,,,,,,28.0,5.0,,,lived,no,0,0,0,no
yes,adult,529428,,,,,,,,,,,,,,,,,,,,lived,yes,2124,0,0,no
yes,adult,529126,38.0,50.0,36.0,,normal,normal_pink,less_3_sec,mild_pain,normal,slight,,,,decreased,,39.0,6.6,clear,5.3,lived,yes,8400,0,0,yes
no,adult,535054,38.6,45.0,16.0,warm,normal,bright_pink,less_3_sec,alert,hypermotile,,,,,normal,normal,43.0,58.0,,,lived,no,0,0,0,no
yes,adult,528890,38.9,80.0,44.0,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,decreased,normal,54.0,6.5,serosanguious,,died,yes,7111,0,0,no
yes,adult,530034,37.0,66.0,20.0,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,none,,,normal,distend_large,35.0,6.9,cloudy,,died,yes,31110,0,0,no
yes,adult,534004,,78.0,24.0,cool,reduced,pale_pink,less_3_sec,,hypomotile,,slight,none,,,distend_small,43.0,62.0,,2.0,euthanized,no,2209,0,0,no
no,adult,533902,38.5,40.0,16.0,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,,,,decreased,other,37.0,67.0,,,lived,no,0,0,0,no
yes,adult,533886,,120.0,70.0,cold,,pale_cyanotic,more_3_sec,depressed,absent,,,,,,distend_large,55.0,65.0,,,euthanized,no,3205,0,0,no
no,adult,527702,37.2,72.0,24.0,cool,increased,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,significant,none,,absent,distend_small,44.0,,serosanguious,3.3,euthanized,yes,2208,0,0,yes
yes,adult,529386,37.5,72.0,30.0,cold,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,none,,decreased,distend_large,60.0,6.8,,,died,yes,3205,0,0,no
yes,adult,530612,36.5,100.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,,absent,distend_small,50.0,6.0,serosanguious,3.4,lived,yes,2208,0,0,yes
yes,adult,534618,37.2,40.0,20.0,,,,,,,,,,,absent,normal,36.0,62.0,clear,1.0,euthanized,no,6112,0,0,no
